На складе (тонн),Вес 1 шт./кг.,,Цена 1 - 5 т. ,"Цена 5 - 15 т.
",Цена > 15 т. ,Филиал,Наименование,Размер,Длина,Доп. информация/ГОСТ,Категория,Длина
6.27,627.372,45672.68,72100,72000,7100,ЕКАТЕРИНБУРГ,Труба ЭС ст20,273 *8,(12+нд),ГОСТ10705-80,Труба ЭС,12
7.53,627.432,48312.26,76100,76000,75900,ВОЛГОГРАД,Труба ЭС ст20,273 *8,(12+нд),ГОСТ10705-80,Труба ЭС,12
18.64,932.000,65985.63,70100,70000,69900,ЛОБНЯ,Труба ЭС ст20,325 *10,(12+нд),ГОСТ10705-80,Труба ЭС,12
9.33,932.997,68668.56,73100,73000,72900,ЕКАТЕРИНБУРГ,Труба ЭС ст20,325 *10,(12+нд),ГОСТ10705-80,Труба ЭС,12.01
2.79,932.160,73360.99,78100,78000,77900,ВОЛГОГРАД,Труба ЭС ст20,325 *10,(12+нд),ГОСТ10705-80,Труба ЭС,12
0.92,916.005,70165.98,76100,76000,75900,ЧЕЛЯБИНСК,Труба ЭС ст20,325 *10,"(11,8+нд)",ГОСТ10705-80,Труба ЭС,11.85
14.99,386.024,27253.29,69100,69000,68900,ЛОБНЯ,Труба ЭС,"273 *5,0","(11,5-12,0)",ГОСТ 10704-91,Труба ЭС,11.68
5.51,551.004,40113.09,72100,72000,7100,ЕКАТЕРИНБУРГ,Труба ЭС ст20,"273 *7,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
7.16,551.040,42430.08,76100,76000,75900,ВОЛГОГРАД,Труба ЭС ст20,"273 *7,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
10.35,474.120,36649.48,76100,76000,75900,УФА,Труба ЭС ст20,"273 *6,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
13.11,624.204,46066.26,73100,73000,72900,ЧЕЛЯБИНСК,Труба ЭС ст20,273 *8,"(11,8+нд)",ГОСТ10705-80,Труба ЭС,12
6.19,619.518,47702.89,76100,76000,75900,УФА,Труба ЭС ст20,273 *8,"(11,8+нд)",ГОСТ10705-80,Труба ЭС,11.85
10.47,552.000,40737.60,73100,73000,72900,ЧЕЛЯБИНСК,Труба ЭС ст20,"273 *7,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
5.51,551.040,42430.08,76100,76000,75900,УФА,Труба ЭС ст20,"273 *7,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
2.86,318.332,22315.10,69100,69000,68900,ИЖЕВСК,Труба ЭС,"219 *5,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
0.63,316.716,21631.70,67100,67000,66900,ВОЛГОГРАД,Труба ЭС,"219 *5,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
20.21,373.815,25531.58,67100,67000,66900,ВОЛГОГРАД,Труба ЭС,"219 *6,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.86
26.45,371.995,26262.85,69100,69000,68900,ВЛАДИКАВКАЗ,Труба ЭС,"219 *6,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
0.38,378.240,25833.79,67100,67000,66900,УФА,Труба ЭС,"219 *6,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,12
0.37,370.387,25964.12,69100,69000,68900,ИЖЕВСК,Труба ЭС,"219 *6,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
0.32,317.599,21152.11,65100,65000,64900,ЛОБНЯ,Труба ЭСст3,"219*5,0 Шексна",-12,"ГОСТ10704-91,10705-80изм1-6",Труба ЭС,12
22.60,318.666,22019.79,68100,68000,67900,ЧЕЛЯБИНСК,Труба ЭС,"219 *5,0",(12+нд),ГОСТ10704-91,Труба ЭС,12.1
5.92,320.362,21880.72,67100,67000,66900,УФА,Труба ЭС,"219 *5,0",(12+нд),ГОСТ10704-91,Труба ЭС,12.07
5.10,316.704,21250.84,67100,67000,66900,ПЕРМЬ,Труба ЭС,"219 *5,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
14.89,316.680,21407.57,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *5,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
1.14,285.612,20107.08,69100,69000,68900,ИЖЕВСК,Труба ЭС,"219 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
07.05,282.173,19582.79,68100,68000,67900,ЧЕЛЯБИНСК,Труба ЭС,"219 *4,5","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.9
0.56,280.840,19125.20,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *4,5","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
13.10,288.210,20491.72,69100,69000,68900,ВЛАДИКАВКАЗ,Труба ЭС,"219 *4,5","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,12.06
15.32,312.721,21139.97,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *5,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.85
6.88,312.745,21610.69,68100,68000,67900,ЕКАТЕРИНБУРГ,Труба ЭС,"219 *5,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.85
0.62,311.378,21267.14,67100,67000,66900,ВОЛГОГРАД,Труба ЭС,"219 *5,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
19.30,311.378,21983.32,69100,69000,68900,ВЛАДИКАВКАЗ,Труба ЭС,"219 *5,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
0.26,255.300,17130.63,65100,65000,64900,ЛОБНЯ,Труба ЭСст3,"219*4,0 Шексна",-12,"ГОСТ10704-91,10705-80изм1-6",Труба ЭС,12
8.88,286.399,19217.39,65100,65000,64900,ЛОБНЯ,Труба ЭСст3,"219*4,5 Шексна",-12,"ГОСТ10704-91,10705-80изм1-6",Труба ЭС,12
2.30,287.206,19932.07,68100,68000,67900,ЧЕЛЯБИНСК,Труба ЭС,"219 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12.1
5.71,285.600,19449.36,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
03.07,439.200,29689.92,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *7,0",(12+нд),ГОСТ 10704-91,Труба ЭС,12
8.83,441.636,30517.08,68100,68000,67900,ЕКАТЕРИНБУРГ,Труба ЭС,"219 *7,0",(12+нд),ГОСТ 10704-91,Труба ЭС,12.067
03.07,439.140,33067.24,74100,74000,73900,ВОЛГОГРАД,Труба ЭС,"219 *7,0",(12+нд),ГОСТ 10704-91,Труба ЭС,12
10.41,433.710,29318.80,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *7,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.85
7.34,431.880,30490.73,69100,69000,68900,ВЛАДИКАВКАЗ,Труба ЭС,"219 *7,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
7.47,497.700,34391.07,68100,68000,67900,ЧЕЛЯБИНСК,Труба ЭС,"219 *8,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,12
5.92,493.315,33348.13,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *8,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.85
8.88,493.700,34114.66,68100,68000,67900,ЕКАТЕРИНБУРГ,Труба ЭС,"219 *8,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.86
11.27,491.234,33551.28,67100,67000,66900,ВОЛГОГРАД,Труба ЭС,"219 *8,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
13.76,491.234,34681.12,69100,69000,68900,ВЛАДИКАВКАЗ,Труба ЭС,"219 *8,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
20.73,441.142,30482.90,68100,68000,67900,ЧЕЛЯБИНСК,Труба ЭС,"219 *7,0",(12+нд),ГОСТ 10704-91,Труба ЭС,12.1
23.83,378.240,25569.02,66100,66000,65900,ЛОБНЯ,Труба ЭС,"219 *6,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
4.94,380.230,26654.09,69100,69000,68900,ИЖЕВСК,Труба ЭС,"219 *6,0",(12+нд),ГОСТ10704-91,Труба ЭС,12
25.79,379.300,25261.35,65100,65000,64900,ЛОБНЯ,Труба ЭСст3,"219*6,0 Шексна",-12,"ГОСТ10704-91,10705-80изм1-6",Труба ЭС,12
15.58,380.255,26275.59,68100,68000,67900,ЧЕЛЯБИНСК,Труба ЭС,"219 *6,0",(12+нд),ГОСТ10704-91,Труба ЭС,12.1
11.41,382.314,26112.05,67100,67000,66900,УФА,Труба ЭС,"219 *6,0",(12+нд),ГОСТ10704-91,Труба ЭС,12.06
03.04,380.000,26068.03,68600,68500,68400,ТЮМЕНЬ,Труба ЭС,"219 *6,0",(12+нд),ГОСТ10704-91,Труба ЭС,12.1
2.21,123.120,8162.86,64100,64000,63900,ВОЛГОГРАД,Труба ЭС,"108 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
0.13,125.292,8720.32,67100,67000,66900,ВЛАДИКАВКАЗ,Труба ЭС,"108 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
7.90,112.860,7482.62,64100,64000,63900,ВОЛГОГРАД,Труба ЭС,"108 *4,0",(11+нд),ГОСТ 10704-91,Труба ЭС,11
16.93,112.860,7855.06,67100,67000,66900,ВЛАДИКАВКАЗ,Труба ЭС,"108 *4,0",(11+нд),ГОСТ 10704-91,Труба ЭС,11
15.06,120.511,8182.72,66100,66000,65900,ЧЕЛЯБИНСК,Труба ЭС,"108 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.9
10.83,120.658,8361.57,67100,67000,66900,УФА,Труба ЭС,"108 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.76
2.98,119.200,7819.49,65600,65500,65400,ТЮМЕНЬ,Труба ЭС,"108 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
3.81,123.120,7891.99,64100,64000,63900,ПЕРМЬ,Труба ЭС,"108 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
38.66,123.120,8199.79,64100,64000,63900,ЛОБНЯ,Труба ЭС,"108 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
0.14,72.470,7196.25,97100,97000,96900,ВОЛГОГРАД,Труба ЭСоц,"108*3,5","(7,8+нд)",ГОСТ 10704-91,Труба ЭС,7.8
12.01,57.234,6290.02,108100,108000,107900,ЧЕЛЯБИНСК,Труба ЭСоц,"108*3,5","(6,0+нд)",ГОСТ 10704-91,Труба ЭС,6
06.07,55.740,5607.44,98100,98000,97900,ЛОБНЯ,Труба ЭСоц,"108*3,5","(6,0+нд)",ГОСТ 10704-91,Труба ЭС,6
5.30,108.252,7058.03,62700,62600,62500,ЧЕХОВ,Труба ЭС,"108 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
3.37,108.648,7377.20,66100,66000,65900,ЧЕЛЯБИНСК,Труба ЭС,"108 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
0.12,120.452,8022.13,64100,64000,63900,ЛОБНЯ,Труба ЭС,"108 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.74
6.55,119.410,8227.36,67100,67000,66900,ИЖЕВСК,Труба ЭС,"108 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
0.12,120.561,8186.09,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"108 *4,0","(11,6+нд)",ГОСТ 10704-91,Труба ЭС,11.75
15.87,72.470,7290.46,98100,98000,97900,ЛОБНЯ,Труба ЭСоц,"108*3,5","(7,8+нд)",ГОСТ 10704-91,Труба ЭС,7.8
12.41,137.880,9596.45,67100,67000,66900,ЛОБНЯ,Труба ЭС,"108 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
1.10,137.880,9555.08,67100,67000,66900,ВОЛГОГРАД,Труба ЭС,"108 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
10.65,134.898,9159.60,66100,66000,65900,ЧЕЛЯБИНСК,Труба ЭС,"108 *4,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.9
1.48,135.007,9491.03,68100,68000,67900,УФА,Труба ЭС,"108 *4,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.75
8.77,135.007,9167.01,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"108 *4,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.75
0.12,119.324,6395.76,53600,53600,53600,УФА,Труба ЭС,"108*4,0",,А,Труба ЭС,11.63
0.08,82.430,8679.92,103100,103000,102900,УФА,Труба ЭСоц,"108*4,0","(7,8+нд)",ГОСТ 10704-91,Труба ЭС,7.8
0.44,149.225,10490.52,68100,68000,67900,УФА,Труба ЭС,108 *5,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.75
0.44,149.213,10131.58,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,108 *5,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.75
0.57,114.169,7603.66,64100,64000,63900,ЛОБНЯ,Труба ЭС,"108 *4,0","(9,5+нд)",ГОСТ 10704-91,Труба ЭС,11
2.83,123.120,8027.42,62700,62600,62500,ЧЕХОВ,Труба ЭС,"108 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
3.57,123.120,8532.22,67100,67000,66900,УФА,Труба ЭС,"108 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
18.71,82.452,8294.69,98100,98000,97900,ЛОБНЯ,Труба ЭСоц,"108*4,0","(7,8+нд)",ГОСТ 10704-91,Труба ЭС,7.8
0.06,64.866,7128.77,108100,108000,107900,ЧЕЛЯБИНСК,Труба ЭСоц,"108*4,0",-6,ГОСТ 10704-91,Труба ЭС,6
0.09,85.470,5692.30,64100,64000,63900,ЛОБНЯ,Труба ЭС,108 *3,(11+нд),ГОСТ 10704-91,Труба ЭС,11
5.13,85.470,5948.71,67100,67000,66900,ВЛАДИКАВКАЗ,Труба ЭС,108 *3,(11+нд),ГОСТ 10704-91,Труба ЭС,11
6.58,91.403,6206.25,66100,66000,65900,ЧЕЛЯБИНСК,Труба ЭС,108 *3,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.8
0.90,90.443,6267.69,67100,67000,66900,УФА,Труба ЭС,108 *3,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.64
3.17,90.663,5947.51,65600,65500,65400,ТЮМЕНЬ,Труба ЭС,108 *3,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
0.27,90.301,6221.71,67100,67000,66900,ИЖЕВСК,Труба ЭС,108 *3,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
5.60,90.408,6138.70,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,108 *3,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.64
0.14,143.520,10089.46,68100,68000,67900,УФА,Труба ЭС,"102 *5,0",-12,"ГОСТ10704-91,10705-80",Труба ЭС,12
20.98,93.240,6209.78,64100,64000,63900,ЛОБНЯ,Труба ЭС,108 *3,-12,ГОСТ 10704-91,Труба ЭС,12
5.87,93.252,6182.61,64100,64000,63900,ВОЛГОГРАД,Труба ЭС,108 *3,-12,ГОСТ 10704-91,Труба ЭС,12
13.57,102.000,7099.20,67100,67000,66900,ЛОБНЯ,Труба ЭС,"102 *3,5",-12,"ГОСТ10704-91,10705-80",Труба ЭС,12
0.26,87.840,6113.66,67100,67000,66900,ЛОБНЯ,Труба ЭС,102 *3,-12,"ГОСТ10704-91,10705-80",Труба ЭС,12
23.96,143.514,9988.57,67100,67000,66900,ЛОБНЯ,Труба ЭС,"102 *5,0",-12,"ГОСТ10704-91,10705-80",Труба ЭС,12
09.07,141.658,9901.87,68100,68000,67900,ЧЕЛЯБИНСК,Труба ЭС,"102 *5,0","(11,7+нд)","ГОСТ10704-91,10705-80",Труба ЭС,11.9
4.25,141.726,9963.34,68100,68000,67900,УФА,Труба ЭС,"102 *5,0","(11,7+нд)","ГОСТ10704-91,10705-80",Труба ЭС,11.85
01.06,106.370,7403.35,67100,67000,66900,ЛОБНЯ,Труба ЭС,"102 *4,0",(11+НД),"ГОСТ10704-91,10705-80",Труба ЭС,11
9.58,52.648,5349.00,99100,99000,98900,ЛОБНЯ,Труба ЭСоц,"102*3,5","(6,0+нд)",ТУ14-101-535-2004,Труба ЭС,06.01
0.04,45.594,4723.50,99100,99000,98900,ЛОБНЯ,Труба ЭСоц,"102*3,5","(6,0+нд)",ГОСТ 10704-91,Труба ЭС,5.12
05.09,108.240,7457.74,67100,67000,66900,ИЖЕВСК,Труба ЭС,"108 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
0.11,109.512,7435.86,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"108 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
3.46,108.240,7176.31,64100,64000,63900,ВОЛГОГРАД,Труба ЭС,"108 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
0.11,108.252,7501.86,67100,67000,66900,УФА,Труба ЭС,"108 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
15.26,108.250,7209.42,64100,64000,63900,ЛОБНЯ,Труба ЭС,"108 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
2.33,93.252,6080.03,62700,62600,62500,ЧЕХОВ,Труба ЭС,108 *3,-12,ГОСТ 10704-91,Труба ЭС,12
0.28,93.240,6461.53,67100,67000,66900,УФА,Труба ЭС,108 *3,-12,ГОСТ 10704-91,Труба ЭС,12
10.02,99.231,6906.48,67100,67000,66900,ВЛАДИКАВКАЗ,Труба ЭС,"108 *3,5",(11+нд),ГОСТ 10704-91,Труба ЭС,11
0.73,104.903,7689.36,71100,71000,70900,УФА,Труба ЭС,"108 *3,5","(11,7+нд)ст09Г2С",ГОСТ 10704-91,Труба ЭС,11.63
0.52,104.926,7754.00,72100,72000,71900,ИЖЕВСК,Труба ЭС,"108 *3,5","(11,7+нд)ст09Г2С",ГОСТ 10704-91,Труба ЭС,11.7
15.25,105.969,7195.33,66100,66000,65900,ЧЕЛЯБИНСК,Труба ЭС,"108 *3,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.9
0.94,104.993,7276.00,67100,67000,66900,УФА,Труба ЭС,"108 *3,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.64
3.99,104.914,6882.35,65600,65500,65400,ТЮМЕНЬ,Труба ЭС,"108 *3,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
4.54,106.270,7215.77,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"108 *3,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.74
1.27,105.985,7196.38,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"108 *3,5","(11,6+нд)",ГОСТ 10704-91,Труба ЭС,11.75
1.86,169.004,11221.85,65100,65000,64900,ЧЕЛЯБИНСК,Труба ЭС,"133 *4,5","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.9
2.51,168.268,11240.30,65100,65000,64900,ВОЛГОГРАД,Труба ЭС,"133 *4,5","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
2.69,168.268,11795.59,68100,68000,67900,ВЛАДИКАВКАЗ,Труба ЭС,"133 *4,5","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
1.67,167.412,11517.97,67100,67000,66900,УФА,Труба ЭС,"133 *4,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.74
13.69,171.120,11311.03,64100,64000,63900,ЛОБНЯ,Труба ЭС,"133 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
3.77,171.168,11707.89,67100,67000,66900,ИЖЕВСК,Труба ЭС,"133 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
01.03,172.084,11598.43,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"133 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
0.34,171.120,11430.82,65100,65000,64900,ВОЛГОГРАД,Труба ЭС,"133 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
25.05,152.736,10095.85,64100,64000,63900,ЛОБНЯ,Труба ЭС,"133 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
2.80,153.324,10334.04,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"133 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
01.07,152.784,10205.97,65100,65000,64900,ВОЛГОГРАД,Труба ЭС,"133 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
0.15,154.164,10806.90,68100,68000,67900,ВЛАДИКАВКАЗ,Труба ЭС,"133 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
0.50,167.631,11130.69,65100,65000,64900,ЧЕЛЯБИНСК,Труба ЭС,"133 *4,5","(11,6+нд)",ГОСТ 10704-91,Труба ЭС,11.8
01.01,167.638,11466.41,67100,67000,66900,ИЖЕВСК,Труба ЭС,"133 *4,5","(11,6+нд)",ГОСТ 10704-91,Труба ЭС,11.7
0.15,150.999,6870.46,45500,45500,45500,ЧЕХОВ,Труба ЭС,"133*4,0",,А,Труба ЭС,11.73
3.97,152.784,10037.91,63700,63600,63500,ЧЕХОВ,Труба ЭС,"133 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
0.76,152.784,10511.54,67100,67000,66900,УФА,Труба ЭС,"133 *4,0",-12,ГОСТ 10704-91,Труба ЭС,12
18.93,160.428,10973.28,67100,67000,66900,ЧЕЛЯБИНСК,Труба ЭС,"159 *3,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,12
05.02,161.916,11075.07,67100,67000,66900,ИЖЕВСК,Труба ЭС,"159 *3,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
3.59,224.784,15375.23,67100,67000,66900,ЧЕЛЯБИНСК,Труба ЭС,"133 *6,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,12
4.91,223.112,15573.25,68100,68000,67900,УФА,Труба ЭС,"133 *6,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.874
4.33,180.434,12233.41,66100,66000,65900,ВОЛГОГРАД,Труба ЭС,"159 *4,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.8
22.98,181.198,12883.20,69100,69000,68900,ВЛАДИКАВКАЗ,Труба ЭС,"159 *4,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.85
1.66,184.368,12610.77,67100,67000,66900,ЧЕЛЯБИНСК,Труба ЭС,"159 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,12
19.97,161.040,11127.86,67100,67000,66900,ЛОБНЯ,Труба ЭС,"159 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
4.45,159.094,10882.04,67100,67000,66900,ЕКАТЕРИНБУРГ,Труба ЭС,"159 *3,5",-12,ГОСТ 10704-91,Труба ЭС,11.855
18.22,114.574,11640.74,99100,99000,98900,ЛОБНЯ,Труба ЭСоц,"133*4,5","(7,8+нд)",ГОСТ 10704-91,Труба ЭС,7.8
0.68,171.120,11242.58,63700,63600,63500,ЧЕХОВ,Труба ЭС,"133 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
4.96,171.108,11772.23,67100,67000,66900,УФА,Труба ЭС,"133 *4,5",-12,ГОСТ 10704-91,Труба ЭС,12
15.53,189.360,12895.42,66100,66000,65900,ЛОБНЯ,Труба ЭС,"133 *5,0",-12,ГОСТ 10704-91,Труба ЭС,12
5.87,189.354,13141.17,68100,68000,67900,ИЖЕВСК,Труба ЭС,"133 *5,0",-12,ГОСТ 10704-91,Труба ЭС,12
0.74,185.731,12964.00,68100,68000,67900,УФА,Труба ЭС,"133 *5,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.77
1.11,185.539,12876.38,68100,68000,67900,ИЖЕВСК,Труба ЭС,"133 *5,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.7
9.89,133.650,9168.39,66100,66000,65900,ЛОБНЯ,Труба ЭС,"114 *4,5","(11,0+нд)",ГОСТ 10704-91,Труба ЭС,11
5.75,133.650,9836.64,71100,71000,70900,ВЛАДИКАВКАЗ,Труба ЭС,"114 *4,5","(11,0+нд)",ГОСТ 10704-91,Труба ЭС,11
0.13,130.200,5351.22,41100,41100,41100,УФА,Труба ЭС,"114*4,0",нд,А,Труба ЭС,12
0.09,87.212,9270.61,104100,104000,103900,УФА,Труба ЭСоц,"114*4,0","(7,8+нд)",ГОСТ 10704-91,Труба ЭС,7.8
9.50,87.200,8859.53,99100,99000,98900,ЛОБНЯ,Труба ЭСоц,"114*4,0","(7,8+нд)",ГОСТ 10704-91,Труба ЭС,7.8
1.75,145.800,10001.88,66100,66000,65900,ЛОБНЯ,Труба ЭС,"114 *4,5",(12+нд),ГОСТ 10704-91,Труба ЭС,12
10.82,144.264,10228.30,69100,69000,68900,ЧЕЛЯБИНСК,Труба ЭС,"114 *4,5","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.9
07.01,152.400,10637.52,68100,68000,67900,УФА,Труба ЭС,108 *5,-12,ГОСТ 10704-91,Труба ЭС,12
15.39,152.400,10530.84,67100,67000,66900,ЛОБНЯ,Труба ЭС,108 *5,-12,ГОСТ 10704-91,Труба ЭС,12
0.26,130.212,9153.90,68100,68000,67900,ВОЛГОГРАД,Труба ЭС,"114 *4,0",(12+нд),ГОСТ 10704-91,Труба ЭС,12
11.76,130.656,9616.28,71100,71000,70900,ВЛАДИКАВКАЗ,Труба ЭС,"114 *4,0",(12+нд),ГОСТ 10704-91,Труба ЭС,12
7.72,128.639,9120.51,69100,69000,68900,ЧЕЛЯБИНСК,Труба ЭС,"114 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.9
02.03,119.361,8784.97,71100,71000,70900,ВЛАДИКАВКАЗ,Труба ЭС,"114 *4,0","(11,0+НД)",ГОСТ 10704-91,Труба ЭС,11
21.01,181.080,12512.63,67100,67000,66900,ЛОБНЯ,Труба ЭС,108 *6,-12,ГОСТ 10704-91,Труба ЭС,12
7.34,179.036,12067.03,66100,66000,65900,ЧЕЛЯБИНСК,Труба ЭС,108 *6,"(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11
3.76,134.160,9297.29,67100,67000,66900,УФА,Труба ЭС,"133 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
28.44,134.160,8935.06,64100,64000,63900,ЛОБНЯ,Труба ЭС,"133 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
6.44,134.160,9109.46,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"133 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
6.57,134.160,9028.97,65100,65000,64900,ВОЛГОГРАД,Труба ЭС,"133 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
0.27,134.172,9472.54,68100,68000,67900,ВЛАДИКАВКАЗ,Труба ЭС,"133 *3,5",-12,ГОСТ 10704-91,Труба ЭС,12
1.81,150.963,10023.97,65100,65000,64900,ЧЕЛЯБИНСК,Труба ЭС,"133 *4,0","(11,7+нд)",ГОСТ 10704-91,Труба ЭС,11.9
4.19,149.727,10166.47,66100,66000,65900,ЕКАТЕРИНБУРГ,Труба ЭС,"133 *4,0","(11,6+нд)",ГОСТ 10704-91,Труба ЭС,11.76
3.64,151.877,10449.12,67100,67000,66900,УФА,Труба ЭС,"133 *4,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.94
0.60,149.601,9963.43,64100,64000,63900,ЛОБНЯ,Труба ЭС,"133 *4,0","(11,8+нд)",ГОСТ 10704-91,Труба ЭС,11.75
